algo,op,mean_ops,std_ops,count
ecdsap256,sign,13993.66,101.63583521573509,5
ecdsap256,verify,4844.82,27.699043304778904,5
ecdsap384,sign,1640.08,7.2365046811288884,5
ecdsap384,verify,739.28,1.859300943903414,5
ecdsap521,sign,1279.6,4.64004310324807,5
ecdsap521,verify,673.8399999999999,3.257759966602832,5
ed25519,sign,9817.060000000001,25.06806733675394,5
ed25519,verify,3718.62,13.398208835512367,5
ed448,sign,1901.0,43.24239817586442,5
ed448,verify,1796.64,9.09439387754899,5
rsa2048,decrypt,491.96000000000004,1.4926486525636224,5
rsa2048,encrypt,14968.079999999998,79.90464316921748,5
rsa2048,sign,501.6,1.1661903789690633,5
rsa2048,verify,16662.0,86.86587362134934,5
rsa3072,decrypt,160.78,0.7463243262818081,5
rsa3072,encrypt,7412.44,37.33353720182422,5
rsa3072,sign,161.5,0.5830951894845214,5
rsa3072,verify,7919.4,25.062222567043012,5
rsa4096,decrypt,70.78,0.21679483388679013,5
rsa4096,encrypt,4361.08,11.7540205887177,5
rsa4096,sign,71.03999999999999,0.2607680962081014,5
rsa4096,verify,4579.0599999999995,11.464859353694528,5
