algo,repeat,op,ops_per_sec,bytes,notes
ML-KEM-512,1,encaps,12018.300,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,1,decaps,11227.200,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,2,encaps,11438.800,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,2,decaps,10707.000,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,3,encaps,11136.800,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,3,decaps,10346.400,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,4,encaps,11028.600,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,4,decaps,10214.600,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,5,encaps,10712.700,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,5,decaps,10125.000,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,6,encaps,10565.300,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,6,decaps,10001.500,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,7,encaps,10472.800,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,7,decaps,9972.100,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,8,encaps,10384.200,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,8,decaps,9965.500,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,9,encaps,10416.600,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,9,decaps,9896.800,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,10,encaps,10424.500,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,10,decaps,9871.300,pk=800|sk=32|ct=32,speed_table
