algo,op,mean_ops,std_ops,mean_ms,std_ms,reps,pk,sk,ct,ss,sig
ML-KEM-512,keypair,,,,,,,,,,
ML-KEM-512,keygen,,,,,,,,,,
ML-KEM-512,encaps,143852.6,199.40096862604935,0.006951569050209515,9.643525215901617e-06,3.0,800.0,32.0,32.0,,
ML-KEM-512,decaps,120942.77766666666,238.72465958994087,0.008268394514328965,1.6333090923644418e-05,3.0,800.0,32.0,32.0,,
ML-KEM-512,sign,,,,,,,,,,
ML-KEM-512,verify,,,,,,,,,,
ML-KEM-768,keypair,,,,,,,,,,
ML-KEM-768,keygen,,,,,,,,,,
ML-KEM-768,encaps,92106.15533333334,84.94417870774915,0.010857043848423927,1.0015350370817205e-05,3.0,1184.0,32.0,32.0,,
ML-KEM-768,decaps,76200.689,84.19901574246164,0.0131232515984962,1.4496473952099751e-05,3.0,1184.0,32.0,32.0,,
ML-KEM-768,sign,,,,,,,,,,
ML-KEM-768,verify,,,,,,,,,,
ML-KEM-1024,keypair,,,,,,,,,,
ML-KEM-1024,keygen,,,,,,,,,,
ML-KEM-1024,encaps,65209.155666666666,1157.671508112876,0.01533852613528657,0.0002751278573359343,3.0,1568.0,32.0,32.0,,
ML-KEM-1024,decaps,54366.35533333333,854.1656365695872,0.018396783900394422,0.00029167161137818437,3.0,1568.0,32.0,32.0,,
ML-KEM-1024,sign,,,,,,,,,,
ML-KEM-1024,verify,,,,,,,,,,
ML-DSA-44,keypair,,,,,,,,,,
ML-DSA-44,keygen,,,,,,,,,,
ML-DSA-44,encaps,,,,,,,,,,
ML-DSA-44,decaps,,,,,,,,,,
ML-DSA-44,sign,18945.644666666667,29.660965869864683,0.052782666048333454,8.271027308866826e-05,3.0,2420.0,2420.0,,,2420.0
ML-DSA-44,verify,48842.333333333336,47.09044088064382,0.02047405501511919,1.9740743770788876e-05,3.0,2420.0,2420.0,,,2420.0
ML-DSA-65,keypair,,,,,,,,,,
ML-DSA-65,keygen,,,,,,,,,,
ML-DSA-65,encaps,,,,,,,,,,
ML-DSA-65,decaps,,,,,,,,,,
ML-DSA-65,sign,11782.177666666665,15.951977474072756,0.08487405719144313,0.00011482467633241975,3.0,3309.0,3309.0,,,3309.0
ML-DSA-65,verify,28603.244666666666,24.384583169153686,0.034961085568661836,2.9793377475046315e-05,3.0,3309.0,3309.0,,,3309.0
ML-DSA-87,keypair,,,,,,,,,,
ML-DSA-87,keygen,,,,,,,,,,
ML-DSA-87,encaps,,,,,,,,,,
ML-DSA-87,decaps,,,,,,,,,,
ML-DSA-87,sign,9435.022333333332,3.2564989380212026,0.1059880988200499,3.658900835577578e-05,3.0,4627.0,4627.0,,,4627.0
ML-DSA-87,verify,17772.644666666667,7.995792414346521,0.05626625376909513,2.5318808321924972e-05,3.0,4627.0,4627.0,,,4627.0
